ID	ran_in_way_pipeline	ClusterK2_kmeans	ClusterK3_kmeans	ClusterK4_kmeans	ClusterK2_NMF	ClusterK3_NMF	ClusterK4_NMF	ClusterK4_kmeans_TCGA_names	external_HGSCsubtype_estimate
Sample_19291X21	True	2.0	2.0	2.0	1.0	2.0	4.0	Proliferative	
Sample_19291X22	True	2.0	3.0	3.0	2.0	3.0	3.0	Immunoreactive	
Sample_19291X23	True	1.0	1.0	3.0	2.0	1.0	3.0	Immunoreactive	
Sample_19291X24	True	2.0	2.0	2.0	2.0	2.0	4.0	Proliferative	
Sample_19291X25	True	1.0	3.0	3.0	2.0	3.0	3.0	Immunoreactive	
Sample_19291X26	True	2.0	3.0	3.0	2.0	3.0	3.0	Immunoreactive	
Sample_19291X27	True	1.0	1.0	1.0	1.0	1.0	1.0	Mesenchymal	
Sample_19291X28	True	2.0	2.0	2.0	2.0	2.0	4.0	Proliferative	
Sample_19291X29	True	2.0	1.0	3.0	2.0	3.0	4.0	Immunoreactive	
Sample_19291X30	True	1.0	3.0	3.0	2.0	1.0	3.0	Immunoreactive	
Sample_19291X31	True	2.0	3.0	3.0	2.0	3.0	3.0	Immunoreactive	
Sample_19291X32	True	1.0	3.0	3.0	2.0	3.0	3.0	Immunoreactive	
Sample_18341X10	True	1.0	1.0	3.0	1.0	1.0	2.0	Immunoreactive	C4.DIF
Sample_18341X26	True	2.0	2.0	4.0	2.0	3.0	4.0	Differentiated	C5.PRO
Sample_19291X33	True	1.0	1.0	1.0	1.0	1.0	1.0	Mesenchymal	
Sample_18341X27	True	2.0	2.0	2.0	2.0	3.0	3.0	Proliferative	C4.DIF
Sample_18341X28	True	2.0	2.0	2.0	1.0	2.0	2.0	Proliferative	C5.PRO
Sample_18341X29	True	2.0	2.0	2.0	2.0	3.0	4.0	Proliferative	C5.PRO
Sample_19291X34	True	1.0	1.0	1.0	1.0	1.0	1.0	Mesenchymal	
Sample_18341X17	True	2.0	3.0	3.0	2.0	3.0	3.0	Immunoreactive	C2.IMM
Sample_18341X30	True	2.0	3.0	3.0	2.0	3.0	3.0	Immunoreactive	C1.MES
Sample_18341X32	True	2.0	2.0	2.0	2.0	3.0	4.0	Proliferative	C4.DIF
